,Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent
39,43,Poland,6.186,1.169,1.31,0.868,0.558,0.063,0.161,Europe
40,44,Colombia,6.163,0.932,1.334,0.81,0.527,0.092,0.046,South America
41,45,Cyprus,6.159,1.213,1.149,1.026,0.459,0.228,0.051,Europe
42,46,Nicaragua,6.137,0.62,1.271,0.803,0.56,0.213,0.174,North America
43,47,Romania,6.124,1.12,1.194,0.792,0.535,0.068,0.001,Europe
44,48,Kuwait,6.102,1.425,1.245,0.776,0.57,0.133,0.113,Asia
45,49,Mauritius,6.101,1.074,1.396,0.763,0.591,0.187,0.084,Africa
46,50,Kazakhstan,6.058,1.123,1.453,0.699,0.497,0.154,0.11,Asia
47,51,Estonia,6.022,1.192,1.453,0.843,0.577,0.125,0.202,Europe
48,52,Philippines,6.006,0.775,1.245,0.602,0.622,0.129,0.13,Asia
49,53,Hungary,6.0,1.164,1.423,0.807,0.386,0.07,0.028,Europe
50,54,Thailand,5.999,1.007,1.348,0.794,0.609,0.377,0.032,Asia
51,55,Argentina,5.975,1.028,1.373,0.85,0.521,0.07,0.06,South America
52,56,Honduras,5.953,0.599,1.187,0.792,0.568,0.257,0.087,North America
53,57,Latvia,5.95,1.141,1.414,0.778,0.329,0.075,0.09,Europe
54,58,Ecuador,5.925,0.853,1.221,0.839,0.555,0.115,0.087,South America
55,59,Portugal,5.911,1.169,1.34,0.979,0.59,0.053,0.028,Europe
56,60,Jamaica,5.89,0.779,1.408,0.788,0.553,0.116,0.03,North America
57,61,South Korea,5.872,1.245,1.134,1.023,0.259,0.17,0.095,Asia
58,62,Japan,5.871,1.267,1.332,1.073,0.495,0.036,0.181,Asia
59,63,Peru,5.797,0.919,1.208,0.824,0.513,0.092,0.027,South America
60,64,Serbia,5.778,0.988,1.327,0.828,0.395,0.15,0.059,Europe
61,65,Bolivia,5.747,0.731,1.142,0.662,0.574,0.138,0.073,South America
62,66,Pakistan,5.693,0.617,0.873,0.47,0.405,0.229,0.123,Asia
63,67,Paraguay,5.692,0.898,1.368,0.736,0.587,0.204,0.065,South America
64,68,Dominican Republic,5.689,0.983,1.329,0.742,0.563,0.112,0.116,North America
65,69,Bosnia and Herzegovina,5.674,0.918,1.204,0.814,0.305,0.264,0.001,Europe
66,70,Moldova,5.608,0.708,1.237,0.713,0.39,0.174,0.014,Europe
67,71,Tajikistan,5.556,0.475,1.218,0.681,0.521,0.182,0.222,Asia
68,72,Montenegro,5.546,1.01,1.266,0.839,0.303,0.149,0.098,Europe
69,73,Russia,5.546,1.127,1.379,0.68,0.399,0.099,0.046,Asia
70,73,Russia,5.546,1.127,1.379,0.68,0.399,0.099,0.046,Europe
71,74,Kyrgyzstan,5.542,0.513,1.341,0.681,0.615,0.301,0.03,Asia
72,75,Belarus,5.54,1.019,1.387,0.753,0.291,0.09,0.194,Europe
73,77,Greece,5.515,1.128,1.169,0.979,0.174,0.0,0.049,Europe
74,79,Croatia,5.505,1.109,1.311,0.901,0.381,0.114,0.012,Europe
75,80,Libya,5.489,1.022,1.196,0.616,0.451,0.143,0.172,Africa
76,81,Mongolia,5.456,0.905,1.459,0.616,0.356,0.264,0.047,Asia
77,82,Malaysia,5.384,1.168,1.174,0.789,0.597,0.275,0.062,Asia
78,83,Vietnam,5.353,0.718,1.253,0.819,0.651,0.136,0.09,Asia
79,84,Indonesia,5.286,0.892,1.155,0.61,0.568,0.543,0.038,Asia
80,86,Benin,5.216,0.366,0.352,0.328,0.406,0.197,0.126,Africa
81,87,Maldives,5.198,0.938,1.402,0.914,0.548,0.224,0.072,Asia
82,89,Azerbaijan,5.165,0.99,1.181,0.731,0.468,0.04,0.247,Asia
83,90,North Macedonia,5.16,0.935,1.183,0.803,0.41,0.186,0.025,Europe
84,91,Ghana,5.148,0.576,0.966,0.432,0.477,0.261,0.057,Africa
85,92,Nepal,5.137,0.444,1.101,0.669,0.481,0.301,0.128,Asia
86,93,Turkey,5.132,1.127,1.197,0.781,0.254,0.086,0.121,Asia
87,93,Turkey,5.132,1.127,1.197,0.781,0.254,0.086,0.121,Europe
88,94,China,5.124,0.991,1.132,0.867,0.602,0.079,0.117,Asia
89,95,Turkmenistan,5.119,1.009,1.51,0.612,0.515,0.323,0.034,Asia
90,96,Bulgaria,5.102,1.047,1.461,0.778,0.418,0.104,0.0,Europe
91,97,Morocco,5.095,0.759,0.645,0.745,0.45,0.04,0.077,Africa
92,98,Cameroon,5.085,0.504,0.9,0.27,0.439,0.198,0.054,Africa
93,99,Venezuela,5.053,0.77,1.349,0.767,0.272,0.087,0.064,South America
94,100,Algeria,5.005,0.944,1.143,0.745,0.084,0.119,0.129,Africa
95,101,Senegal,4.981,0.504,0.955,0.518,0.352,0.164,0.082,Africa
96,102,Guinea,4.949,0.39,0.751,0.334,0.372,0.249,0.112,Africa
97,103,Niger,4.91,0.108,0.704,0.299,0.435,0.208,0.138,Africa
98,104,Laos,4.889,0.715,0.987,0.486,0.612,0.273,0.194,Asia
99,105,Albania,4.883,0.907,0.83,0.846,0.462,0.171,0.025,Europe
100,106,Cambodia,4.848,0.545,1.071,0.588,0.675,0.233,0.073,Asia
101,107,Bangladesh,4.833,0.556,0.869,0.695,0.604,0.177,0.177,Asia
102,108,Gabon,4.829,0.988,1.106,0.523,0.369,0.052,0.056,Africa
103,109,South Africa,4.814,0.902,1.259,0.407,0.435,0.126,0.06,Africa
104,110,Iraq,4.785,0.982,1.011,0.529,0.284,0.153,0.073,Asia
105,111,Lebanon,4.772,0.889,1.192,0.789,0.186,0.159,0.022,Asia
106,112,Burkina Faso,4.769,0.302,0.929,0.313,0.322,0.186,0.126,Africa
